"","hgnc_symbol","entrezgene","description","ensembl_gene_id"
"49","GAPDH",2597,"glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]","ENSG00000111640"
"50","NOP2",4839,"NOP2 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:7867]","ENSG00000111641"
"51","MPV17",4358,"MPV17, mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:7224]","ENSG00000115204"
"52","PCGF1",84759,"polycomb group ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17615]","ENSG00000115289"
"53","CCND2",894,"cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]","ENSG00000118971"
"54","TNFRSF10B",8795,"TNF receptor superfamily member 10b [Source:HGNC Symbol;Acc:HGNC:11905]","ENSG00000120889"
"55","HPCA",3208,"hippocalcin [Source:HGNC Symbol;Acc:HGNC:5144]","ENSG00000121905"
"56","GTF3A",2971,"general transcription factor IIIA [Source:HGNC Symbol;Acc:HGNC:4662]","ENSG00000122034"
"57","C7orf49",78996,"chromosome 7 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:22432]","ENSG00000122783"
"58","SEM1",7979,"SEM1, 26S proteasome complex subunit [Source:HGNC Symbol;Acc:HGNC:10845]","ENSG00000127922"
"59","ARHGAP22",58504,"Rho GTPase activating protein 22 [Source:HGNC Symbol;Acc:HGNC:30320]","ENSG00000128805"
"60","RHBDF2",79651,"rhomboid 5 homolog 2 [Source:HGNC Symbol;Acc:HGNC:20788]","ENSG00000129667"
"61","CRACR2A",84766,"calcium release activated channel regulator 2A [Source:HGNC Symbol;Acc:HGNC:28657]","ENSG00000130038"
"62","COLGALT1",79709,"collagen beta(1-O)galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26182]","ENSG00000130309"
"63","PXDN",7837,"peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966]","ENSG00000130508"
"64","EDA2R",60401,"ectodysplasin A2 receptor [Source:HGNC Symbol;Acc:HGNC:17756]","ENSG00000131080"
"65","GINS2",51659,"GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]","ENSG00000131153"
"66","PRR7",80758,"proline rich 7, synaptic [Source:HGNC Symbol;Acc:HGNC:28130]","ENSG00000131188"
"67","THOC6",79228,"THO complex 6 [Source:HGNC Symbol;Acc:HGNC:28369]","ENSG00000131652"
"68","EIF5A",1984,"eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]","ENSG00000132507"
"69","SNAP25",6616,"synaptosome associated protein 25 [Source:HGNC Symbol;Acc:HGNC:11132]","ENSG00000132639"
"70","PTGFRN",5738,"prostaglandin F2 receptor inhibitor [Source:HGNC Symbol;Acc:HGNC:9601]","ENSG00000134247"
"71","DDB2",1643,"damage specific DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2718]","ENSG00000134574"
"72","DTNA",1837,"dystrobrevin alpha [Source:HGNC Symbol;Acc:HGNC:3057]","ENSG00000134769"
"73","BIVM",54841,"basic, immunoglobulin-like variable motif containing [Source:HGNC Symbol;Acc:HGNC:16034]","ENSG00000134897"
"74","ANXA1",301,"annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]","ENSG00000135046"
"75","CD63",967,"CD63 molecule [Source:HGNC Symbol;Acc:HGNC:1692]","ENSG00000135404"
"76","TBRG4",9238,"transforming growth factor beta regulator 4 [Source:HGNC Symbol;Acc:HGNC:17443]","ENSG00000136270"
"77","SQOR",58472,"sulfide quinone oxidoreductase [Source:HGNC Symbol;Acc:HGNC:20390]","ENSG00000137767"
"78","SLC15A4",121260,"solute carrier family 15 member 4 [Source:HGNC Symbol;Acc:HGNC:23090]","ENSG00000139370"
"79","ITGAX",3687,"integrin subunit alpha X [Source:HGNC Symbol;Acc:HGNC:6152]","ENSG00000140678"
"80","PARN",5073,"poly(A)-specific ribonuclease [Source:HGNC Symbol;Acc:HGNC:8609]","ENSG00000140694"
"81","CDR2",1039,"cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]","ENSG00000140743"
"82","CDR2",101060399,"cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]","ENSG00000140743"
"83","NOL3",8996,"nucleolar protein 3 [Source:HGNC Symbol;Acc:HGNC:7869]","ENSG00000140939"
"84","TLDC1",57707,"TBC/LysM-associated domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29325]","ENSG00000140950"
"85","RPS2",6187,"ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]","ENSG00000140988"
"86","GALNS",2588,"galactosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4122]","ENSG00000141012"
"87","LRRC46",90506,"leucine rich repeat containing 46 [Source:HGNC Symbol;Acc:HGNC:25047]","ENSG00000141294"
"88","ZMYND15",84225,"zinc finger MYND-type containing 15 [Source:HGNC Symbol;Acc:HGNC:20997]","ENSG00000141497"
"89","CSNK1D",1453,"casein kinase 1 delta [Source:HGNC Symbol;Acc:HGNC:2452]","ENSG00000141551"
"90","HES6",55502,"hes family bHLH transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:18254]","ENSG00000144485"
"91","ARL6IP5",10550,"ADP ribosylation factor like GTPase 6 interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:16937]","ENSG00000144746"
"92","RNF217",154214,"ring finger protein 217 [Source:HGNC Symbol;Acc:HGNC:21487]","ENSG00000146373"
"93","CREB5",9586,"cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]","ENSG00000146592"
"94","TMEM140",55281,"transmembrane protein 140 [Source:HGNC Symbol;Acc:HGNC:21870]","ENSG00000146859"
"95","HSPB8",26353,"heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]","ENSG00000152137"
"96","SLFN13",146857,"schlafen family member 13 [Source:HGNC Symbol;Acc:HGNC:26481]","ENSG00000154760"
"97","MCU",90550,"mitochondrial calcium uniporter [Source:HGNC Symbol;Acc:HGNC:23526]","ENSG00000156026"
"98","FZD1",8321,"frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]","ENSG00000157240"
"99","WIPI2",26100,"WD repeat domain, phosphoinositide interacting 2 [Source:HGNC Symbol;Acc:HGNC:32225]","ENSG00000157954"
"100","MRPL10",124995,"mitochondrial ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:14055]","ENSG00000159111"
"101","DONSON",29980,"downstream neighbor of SON [Source:HGNC Symbol;Acc:HGNC:2993]","ENSG00000159147"
"102","SNF8",11267,"SNF8, ESCRT-II complex subunit [Source:HGNC Symbol;Acc:HGNC:17028]","ENSG00000159210"
"103","ARHGAP27",201176,"Rho GTPase activating protein 27 [Source:HGNC Symbol;Acc:HGNC:31813]","ENSG00000159314"
"104","HK2",3099,"hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]","ENSG00000159399"
"105","DRC7",84229,"dynein regulatory complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:25289]","ENSG00000159625"
"106","SPON2",10417,"spondin 2 [Source:HGNC Symbol;Acc:HGNC:11253]","ENSG00000159674"
"107","RGS12",6002,"regulator of G protein signaling 12 [Source:HGNC Symbol;Acc:HGNC:9994]","ENSG00000159788"
"108","C9orf116",138162,"chromosome 9 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28435]","ENSG00000160345"
"109","BRSK1",84446,"BR serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:18994]","ENSG00000160469"
"110","MGAT4B",11282,"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B [Source:HGNC Symbol;Acc:HGNC:7048]","ENSG00000161013"
"111","FDXR",2232,"ferredoxin reductase [Source:HGNC Symbol;Acc:HGNC:3642]","ENSG00000161513"
"112","PLCD3",113026,"phospholipase C delta 3 [Source:HGNC Symbol;Acc:HGNC:9061]","ENSG00000161714"
"113","TEDC2",80178,"tubulin epsilon and delta complex 2 [Source:HGNC Symbol;Acc:HGNC:25849]","ENSG00000162062"
"114","RNF149",284996,"ring finger protein 149 [Source:HGNC Symbol;Acc:HGNC:23137]","ENSG00000163162"
"115","C3orf67",200844,"chromosome 3 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:24763]","ENSG00000163689"
"116","UCN",7349,"urocortin [Source:HGNC Symbol;Acc:HGNC:12516]","ENSG00000163794"
"117","DAGLB",221955,"diacylglycerol lipase beta [Source:HGNC Symbol;Acc:HGNC:28923]","ENSG00000164535"
"118","KCNV1",27012,"potassium voltage-gated channel modifier subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:18861]","ENSG00000164794"
"119","TP53INP1",94241,"tumor protein p53 inducible nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:18022]","ENSG00000164938"
"120","IFI27",3429,"interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]","ENSG00000165949"
"121","IKBIP",121457,"IKBKB interacting protein [Source:HGNC Symbol;Acc:HGNC:26430]","ENSG00000166130"
"122","TAF10",6881,"TATA-box binding protein associated factor 10 [Source:HGNC Symbol;Acc:HGNC:11543]","ENSG00000166337"
"123","NKIRAS2",28511,"NFKB inhibitor interacting Ras like 2 [Source:HGNC Symbol;Acc:HGNC:17898]","ENSG00000168256"
"124","MLKL",197259,"mixed lineage kinase domain like pseudokinase [Source:HGNC Symbol;Acc:HGNC:26617]","ENSG00000168404"
"125","BMP1",649,"bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]","ENSG00000168487"
"126","GPRIN1",114787,"G protein regulated inducer of neurite outgrowth 1 [Source:HGNC Symbol;Acc:HGNC:24835]","ENSG00000169258"
"127","LRRC45",201255,"leucine rich repeat containing 45 [Source:HGNC Symbol;Acc:HGNC:28302]","ENSG00000169683"
"128","TRAPPC1",58485,"trafficking protein particle complex 1 [Source:HGNC Symbol;Acc:HGNC:19894]","ENSG00000170043"
"129","LRRC20",55222,"leucine rich repeat containing 20 [Source:HGNC Symbol;Acc:HGNC:23421]","ENSG00000172731"
"130","MTX1",4580,"metaxin 1 [Source:HGNC Symbol;Acc:HGNC:7504]","ENSG00000173171"
"131","PHLDA3",23612,"pleckstrin homology like domain family A member 3 [Source:HGNC Symbol;Acc:HGNC:8934]","ENSG00000174307"
"132","RIN1",9610,"Ras and Rab interactor 1 [Source:HGNC Symbol;Acc:HGNC:18749]","ENSG00000174791"
"133","SEZ6L2",26470,"seizure related 6 homolog like 2 [Source:HGNC Symbol;Acc:HGNC:30844]","ENSG00000174938"
"134","ASPHD1",253982,"aspartate beta-hydroxylase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27380]","ENSG00000174939"
"135","KCTD13",253980,"potassium channel tetramerization domain containing 13 [Source:HGNC Symbol;Acc:HGNC:22234]","ENSG00000174943"
"136","B3GNTL1",146712,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1 [Source:HGNC Symbol;Acc:HGNC:21727]","ENSG00000175711"
"137","CTDNEP1",23399,"CTD nuclear envelope phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:19085]","ENSG00000175826"
"138","ORAI3",93129,"ORAI calcium release-activated calcium modulator 3 [Source:HGNC Symbol;Acc:HGNC:28185]","ENSG00000175938"
"139","RIMS2",9699,"regulating synaptic membrane exocytosis 2 [Source:HGNC Symbol;Acc:HGNC:17283]","ENSG00000176406"
"140","PLA2G16",11145,"phospholipase A2 group XVI [Source:HGNC Symbol;Acc:HGNC:17825]","ENSG00000176485"
"141","TYMS",7298,"thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]","ENSG00000176890"
"142","RIMKLA",284716,"ribosomal modification protein rimK like family member A [Source:HGNC Symbol;Acc:HGNC:28725]","ENSG00000177181"
"143","ODF3B",440836,"outer dense fiber of sperm tails 3B [Source:HGNC Symbol;Acc:HGNC:34388]","ENSG00000177989"
"144","C17orf62",79415,"chromosome 17 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:28672]","ENSG00000178927"
"145","LBX2",85474,"ladybird homeobox 2 [Source:HGNC Symbol;Acc:HGNC:15525]","ENSG00000179528"
"146","AEN",64782,"apoptosis enhancing nuclease [Source:HGNC Symbol;Acc:HGNC:25722]","ENSG00000181026"
"147","CHEK2",11200,"checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]","ENSG00000183765"
"148","NR2C2AP",126382,"nuclear receptor 2C2 associated protein [Source:HGNC Symbol;Acc:HGNC:30763]","ENSG00000184162"
"149","CCDC137",339230,"coiled-coil domain containing 137 [Source:HGNC Symbol;Acc:HGNC:33451]","ENSG00000185298"
"150","STAC3",246329,"SH3 and cysteine rich domain 3 [Source:HGNC Symbol;Acc:HGNC:28423]","ENSG00000185482"
"151","AHNAK2",113146,"AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]","ENSG00000185567"
"152","P4HB",5034,"prolyl 4-hydroxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8548]","ENSG00000185624"
"153","SPATA12",353324,"spermatogenesis associated 12 [Source:HGNC Symbol;Acc:HGNC:23221]","ENSG00000186451"
"154","SIRT7",51547,"sirtuin 7 [Source:HGNC Symbol;Acc:HGNC:14935]","ENSG00000187531"
"155","LRRK2",120892,"leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618]","ENSG00000188906"
"156","SH2D5",400745,"SH2 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28819]","ENSG00000189410"
"157","SPATS2L",26010,"spermatogenesis associated serine rich 2 like [Source:HGNC Symbol;Acc:HGNC:24574]","ENSG00000196141"
"158","TPK1",27010,"thiamin pyrophosphokinase 1 [Source:HGNC Symbol;Acc:HGNC:17358]","ENSG00000196511"
"159","AMZ2",51321,"archaelysin family metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:28041]","ENSG00000196704"
"160","PSMB8",5696,"proteasome subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]","ENSG00000204264"
"161","NEU1",4758,"neuraminidase 1 [Source:HGNC Symbol;Acc:HGNC:7758]","ENSG00000204386"
"162","PSORS1C1",170679,"psoriasis susceptibility 1 candidate 1 [Source:HGNC Symbol;Acc:HGNC:17202]","ENSG00000204540"
"163","TCTN1",79600,"tectonic family member 1 [Source:HGNC Symbol;Acc:HGNC:26113]","ENSG00000204852"
"164","HLA-A",3105,"major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]","ENSG00000206503"
"165","ALG3",10195,"ALG3, alpha-1,3- mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:23056]","ENSG00000214160"
"166","PHB2",11331,"prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306]","ENSG00000215021"
"167","LINC02471",NA,"long intergenic non-protein coding RNA 2471 [Source:HGNC Symbol;Acc:HGNC:53410]","ENSG00000223914"
"168","LINC00475",NA,"long intergenic non-protein coding RNA 475 [Source:HGNC Symbol;Acc:HGNC:23569]","ENSG00000225511"
"169","",NA,"","ENSG00000228620"
"170","",NA,"","ENSG00000229953"
"171","GPX1",2876,"glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]","ENSG00000233276"
"172","SP2-AS1",NA,"SP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51341]","ENSG00000234494"
"173","LINC01759",NA,"long intergenic non-protein coding RNA 1759 [Source:HGNC Symbol;Acc:HGNC:52548]","ENSG00000234546"
"174","LINC00857",NA,"long intergenic non-protein coding RNA 857 [Source:HGNC Symbol;Acc:HGNC:45114]","ENSG00000237523"
"175","",NA,"","ENSG00000238045"
"176","NME1",4830,"NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]","ENSG00000239672"
"177","PNMA2",10687,"PNMA family member 2 [Source:HGNC Symbol;Acc:HGNC:9159]","ENSG00000240694"
"178","LINC01322",NA,"long intergenic non-protein coding RNA 1322 [Source:HGNC Symbol;Acc:HGNC:50528]","ENSG00000244128"
"179","APOBEC3C",27350,"apolipoprotein B mRNA editing enzyme catalytic subunit 3C [Source:HGNC Symbol;Acc:HGNC:17353]","ENSG00000244509"
"180","MTHFD2P1",NA,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48859]","ENSG00000244681"
"181","DDX11-AS1",NA,"DDX11 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44176]","ENSG00000245614"
"182","LINC01094",NA,"long intergenic non-protein coding RNA 1094 [Source:HGNC Symbol;Acc:HGNC:49219]","ENSG00000251442"
"183","LBX2-AS1",NA,"LBX2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:25136]","ENSG00000257702"
"184","TUBB3",10381,"tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]","ENSG00000258947"
"185","LINC02555",NA,"long intergenic non-protein coding RNA 2555 [Source:HGNC Symbol;Acc:HGNC:53593]","ENSG00000260943"
"186","CORO7",79585,"coronin 7 [Source:HGNC Symbol;Acc:HGNC:26161]","ENSG00000262246"
"187","RHEX",440712,"regulator of hemoglobinization and erythroid cell expansion [Source:HGNC Symbol;Acc:HGNC:25341]","ENSG00000263961"
"188","",NA,"","ENSG00000266680"
"189","",NA,"","ENSG00000269985"
"190","",NA,"","ENSG00000270504"
"191","",NA,"","ENSG00000271789"
"192","",NA,"","ENSG00000272068"
"193","",NA,"","ENSG00000272183"
"194","",NA,"","ENSG00000272405"
"195","",NA,"","ENSG00000272711"
"196","",NA,"","ENSG00000272941"
"197","",NA,"","ENSG00000277559"
"198","MRM1",79922,"mitochondrial rRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26202]","ENSG00000278619"
"199","",NA,"","ENSG00000279196"
"200","",NA,"","ENSG00000279673"
"201","",NA,"","ENSG00000280206"
